219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/block.png HTTP/1.1" 200 630
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/magnifier.png HTTP/1.1" 200 700
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/node.png HTTP/1.1" 200 548
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/table.png HTTP/1.1" 200 563
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/book-open-text.png HTTP/1.1" 200 628
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/chart.png HTTP/1.1" 200 659
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/collection1/admin/luke?wt=json&show=index&numTerms=0&_=1383638487716 HTTP/1.1" 200 560
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/slash.png HTTP/1.1" 200 752
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/collection1/replication?command=details&wt=json&_=1383638487726 HTTP/1.1" 200 435
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/collection1/dataimport?command=details&wt=json&_=1383638487736 HTTP/1.1" 404 1005
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/collection1/admin/file/?file=admin-extra.html&_=1383638487738 HTTP/1.1" 200 1068
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/img/ico/plus-button.png HTTP/1.1" 200 583
219.142.18.122 - - [05/Nov/2013:16:01:26 +0800] "GET /solr/collection1/admin/ping?action=status&wt=json&_=1383638487743 HTTP/1.1" 503 229
219.142.18.122 - - [05/Nov/2013:16:01:27 +0800] "GET /solr/img/ico/clipboard-list.png HTTP/1.1" 200 640
219.142.18.122 - - [05/Nov/2013:16:01:27 +0800] "GET /solr/img/ico/tick.png HTTP/1.1" 200 634
219.142.18.122 - - [05/Nov/2013:16:01:27 +0800] "GET /solr/img/ico/node-master.png HTTP/1.1" 200 1308
219.142.18.122 - - [05/Nov/2013:16:01:32 +0800] "GET /solr/tpl/file.html?_=1383638493187 HTTP/1.1" 200 878
219.142.18.122 - - [05/Nov/2013:16:01:32 +0800] "GET /solr/img/ico/ui-address-bar.png HTTP/1.1" 200 349
219.142.18.122 - - [05/Nov/2013:16:01:32 +0800] "GET /solr/collection1/admin/file?file=schema.xml&contentType=text/xml;charset=utf-8&_=1383638493270 HTTP/1.1" 200 52325
219.142.18.122 - - [05/Nov/2013:18:45:20 +0800] "GET /solr/ HTTP/1.1" 200 5549
219.142.18.122 - - [05/Nov/2013:18:45:21 +0800] "GET /solr/css/styles/common.css?_=4.4.0 HTTP/1.1" 304 -
